spu_a,name_a,class_a,cat_a,spu_b,name_b,class_b,cat_b,co_occurrences,support,confidence_a→b,confidence_b→a,lift,combined_cm_dollar,cross_category
PR000068,Zen Berry,Dog,beverage_iced,PR000069,Sunny Citrus,Dog,beverage_iced,449,0.000896,0.1430,0.1252,19.981,3.39,N
PR000039,Vital Kale,Star,beverage_iced,PR000068,Zen Berry,Dog,beverage_iced,400,0.000798,0.0410,0.1274,6.552,3.47,N
PR000039,Vital Kale,Star,beverage_iced,PR000069,Sunny Citrus,Dog,beverage_iced,414,0.000826,0.0425,0.1154,5.935,3.68,N
PR000076,Almond Croissant,Puzzle,food,PR000077,Chocolate Croissant,Puzzle,food,275,0.000549,0.0546,0.0538,5.359,5.08,N
PR000050,Mango Pomelo Sago,Puzzle,beverage_iced,PR000051,Dreamy Strawberry,Dog,beverage_iced,252,0.000503,0.0319,0.0646,4.099,3.74,N
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000077,Chocolate Croissant,Puzzle,food,363,0.000724,0.0324,0.0711,3.181,5.04,N
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000076,Almond Croissant,Puzzle,food,313,0.000625,0.0280,0.0622,2.782,4.88,N
PR000018,Cappuccino (Hot),Star,beverage_hot,PR000076,Almond Croissant,Puzzle,food,244,0.000487,0.0230,0.0485,2.290,5.08,Y
PR000026,Hot Chocolate,Puzzle,beverage_hot,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,241,0.000481,0.0434,0.0215,1.940,4.67,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000086,Iced Spanish Latte,Puzzle,beverage_iced,266,0.000531,0.0238,0.0408,1.825,4.91,Y
PR000089,Creme Brulee Latte (Hot),Puzzle,beverage_hot,PR000091,Toffee Hazelnut Latte (Hot),Star,beverage_hot,248,0.000495,0.0301,0.0278,1.694,3.95,N
PR000043,Mango Coconut Sunrise,Plow Horse,beverage_iced,PR000050,Mango Pomelo Sago,Puzzle,beverage_iced,220,0.000439,0.0256,0.0279,1.623,3.67,N
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000090,Iced Toffee Hazelnut Latte,Plow Horse,beverage_iced,232,0.000463,0.0207,0.0362,1.619,4.12,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000081,Caramel Popcorn Latte (Hot),Puzzle,beverage_hot,257,0.000513,0.0230,0.0356,1.594,4.58,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000088,Iced Creme Brulee Latte,Dog,beverage_iced,234,0.000467,0.0209,0.0353,1.580,4.01,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000089,Creme Brulee Latte (Hot),Puzzle,beverage_hot,271,0.000541,0.0242,0.0329,1.474,4.29,Y
PR000016,Latte (Hot),Star,beverage_hot,PR000076,Almond Croissant,Puzzle,food,406,0.000810,0.0147,0.0806,1.465,4.90,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000080,Iced Caramel Popcorn Latte,Star,beverage_iced,424,0.000846,0.0379,0.0314,1.407,4.65,Y
PR000022,Coconut Latte (Hot),Plow Horse,beverage_hot,PR000076,Almond Croissant,Puzzle,food,249,0.000497,0.0135,0.0495,1.341,3.96,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000087,Spanish Latte (Hot),Star,beverage_hot,272,0.000543,0.0243,0.0299,1.339,4.57,Y
PR000033,Pineapple Cold Brew,Plow Horse,beverage_iced,PR000043,Mango Coconut Sunrise,Plow Horse,beverage_iced,231,0.000461,0.0226,0.0268,1.317,2.29,N
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000091,Toffee Hazelnut Latte (Hot),Star,beverage_hot,242,0.000483,0.0216,0.0271,1.214,4.50,Y
PR000016,Latte (Hot),Star,beverage_hot,PR000077,Chocolate Croissant,Puzzle,food,334,0.000667,0.0121,0.0654,1.188,5.06,Y
PR000014,Americano (Hot),Star,beverage_hot,PR000018,Cappuccino (Hot),Star,beverage_hot,261,0.000521,0.0248,0.0246,1.171,4.89,N
PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,PR000077,Chocolate Croissant,Puzzle,food,437,0.000872,0.0118,0.0856,1.162,4.17,Y
PR000015,Iced Latte,Star,beverage_iced,PR000077,Chocolate Croissant,Puzzle,food,256,0.000511,0.0112,0.0501,1.100,5.38,Y
PR000023,Iced Velvet Latte,Star,beverage_iced,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,579,0.001156,0.0231,0.0517,1.033,4.65,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000072,Kyoto Matcha Latte (Hot),Star,beverage_hot,337,0.000673,0.0301,0.0225,1.006,4.37,Y
PR000022,Coconut Latte (Hot),Plow Horse,beverage_hot,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,413,0.000824,0.0224,0.0369,1.000,3.92,Y
PR000024,Velvet Latte (Hot),Star,beverage_hot,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,233,0.000465,0.0222,0.0208,0.993,4.59,Y
PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,PR000076,Almond Croissant,Puzzle,food,364,0.000726,0.0099,0.0723,0.982,4.01,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,784,0.001565,0.0700,0.0212,0.951,3.97,Y
PR000014,Americano (Hot),Star,beverage_hot,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,218,0.000435,0.0207,0.0195,0.926,4.69,Y
PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,PR000073,Iced Kyoto Matcha Coconut Latte,Plow Horse,beverage_iced,372,0.000742,0.0332,0.0207,0.924,3.84,Y
PR000022,Coconut Latte (Hot),Plow Horse,beverage_hot,PR000074,Kyoto Matcha Coconut Latte (Hot),Plow Horse,beverage_hot,218,0.000435,0.0118,0.0337,0.914,2.50,N
PR000023,Iced Velvet Latte,Star,beverage_iced,PR000077,Chocolate Croissant,Puzzle,food,220,0.000439,0.0088,0.0431,0.860,4.85,Y
PR000016,Latte (Hot),Star,beverage_hot,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,518,0.001034,0.0188,0.0463,0.840,4.86,Y
PR000015,Iced Latte,Star,beverage_iced,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,422,0.000842,0.0185,0.0377,0.827,5.18,Y
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,1254,0.002503,0.0184,0.1120,0.825,4.43,Y
PR000016,Latte (Hot),Star,beverage_hot,PR000018,Cappuccino (Hot),Star,beverage_hot,464,0.000926,0.0168,0.0438,0.795,5.06,N
PR000014,Americano (Hot),Star,beverage_hot,PR000016,Latte (Hot),Star,beverage_hot,453,0.000904,0.0430,0.0164,0.781,4.71,N
PR000022,Coconut Latte (Hot),Plow Horse,beverage_hot,PR000024,Velvet Latte (Hot),Star,beverage_hot,292,0.000583,0.0158,0.0278,0.754,3.67,N
PR000016,Latte (Hot),Star,beverage_hot,PR000026,Hot Chocolate,Puzzle,beverage_hot,223,0.000445,0.0081,0.0401,0.729,4.69,N
PR000022,Coconut Latte (Hot),Plow Horse,beverage_hot,PR000072,Kyoto Matcha Latte (Hot),Star,beverage_hot,364,0.000726,0.0197,0.0243,0.659,3.45,N
PR000023,Iced Velvet Latte,Star,beverage_iced,PR000027,Iced Matcha Latte,Plow Horse,beverage_iced,237,0.000473,0.0094,0.0324,0.647,3.86,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000077,Chocolate Croissant,Puzzle,food,443,0.000884,0.0065,0.0867,0.639,4.63,Y
PR000031,Cold Brew,Plow Horse,beverage_iced,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,265,0.000529,0.0141,0.0237,0.632,3.97,Y
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000076,Almond Croissant,Puzzle,food,416,0.000830,0.0061,0.0826,0.609,4.47,Y
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000033,Pineapple Cold Brew,Plow Horse,beverage_iced,842,0.001680,0.0124,0.0825,0.608,2.98,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000079,Chocolate Chip Cookies,Puzzle,food,226,0.000451,0.0033,0.0807,0.595,3.93,Y
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000030,Iced Matcha Coconut Latte,Plow Horse,beverage_iced,582,0.001162,0.0086,0.0793,0.584,3.07,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000042,Pineapple Refresher,Dog,beverage_iced,261,0.000521,0.0038,0.0779,0.574,3.47,N
PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,PR000075,Kyoto Matcha Smoothie,Dog,beverage_iced,227,0.000453,0.0062,0.0404,0.549,1.82,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000043,Mango Coconut Sunrise,Plow Horse,beverage_iced,641,0.001279,0.0094,0.0745,0.549,3.33,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000027,Iced Matcha Latte,Plow Horse,beverage_iced,539,0.001076,0.0079,0.0737,0.543,3.64,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000032,Blood Orange Cold Brew,Dog,beverage_iced,290,0.000579,0.0043,0.0654,0.482,2.29,N
PR000015,Iced Latte,Star,beverage_iced,PR000031,Cold Brew,Plow Horse,beverage_iced,411,0.000820,0.0180,0.0219,0.481,4.31,N
PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,PR000073,Iced Kyoto Matcha Coconut Latte,Plow Horse,beverage_iced,633,0.001263,0.0172,0.0351,0.477,2.97,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000041,Strawberry Refresher,Dog,beverage_iced,230,0.000459,0.0034,0.0629,0.464,3.18,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000039,Vital Kale,Star,beverage_iced,600,0.001197,0.0088,0.0616,0.454,3.89,N
PR000023,Iced Velvet Latte,Star,beverage_iced,PR000024,Velvet Latte (Hot),Star,beverage_hot,233,0.000465,0.0093,0.0222,0.443,4.40,Y
PR000023,Iced Velvet Latte,Star,beverage_iced,PR000033,Pineapple Cold Brew,Plow Horse,beverage_iced,219,0.000437,0.0087,0.0214,0.428,3.20,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000036,Green Cold Brew,Dog,beverage_iced,324,0.000647,0.0048,0.0560,0.412,2.89,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000023,Iced Velvet Latte,Star,beverage_iced,1378,0.002750,0.0203,0.0549,0.405,4.24,N
PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,PR000080,Iced Caramel Popcorn Latte,Star,beverage_iced,380,0.000758,0.0103,0.0282,0.383,3.78,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000073,Iced Kyoto Matcha Coconut Latte,Plow Horse,beverage_iced,931,0.001858,0.0137,0.0517,0.381,3.43,N
PR000016,Latte (Hot),Star,beverage_hot,PR000072,Kyoto Matcha Latte (Hot),Star,beverage_hot,313,0.000625,0.0113,0.0209,0.379,4.39,N
PR000006,Iced Americano,Star,beverage_iced,PR000021,Iced Coconut Latte,Star,beverage_iced,493,0.000984,0.0498,0.0073,0.367,4.33,N
PR000039,Vital Kale,Star,beverage_iced,PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,242,0.000483,0.0248,0.0066,0.337,3.43,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000045,Iced Coconut Velvet Latte,Puzzle,beverage_iced,297,0.000593,0.0044,0.0455,0.336,4.09,N
PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,PR000072,Kyoto Matcha Latte (Hot),Star,beverage_hot,368,0.000734,0.0100,0.0246,0.333,3.50,Y
PR000015,Iced Latte,Star,beverage_iced,PR000016,Latte (Hot),Star,beverage_hot,412,0.000822,0.0180,0.0149,0.328,5.20,Y
PR000023,Iced Velvet Latte,Star,beverage_iced,PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,599,0.001195,0.0239,0.0162,0.324,3.78,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,1609,0.003211,0.0237,0.0436,0.321,3.56,N
PR000005,Drip Coffee,Star,beverage_hot,PR000063,Sausage Egg Cheese Croissant,Plow Horse,food,291,0.000581,0.0072,0.0260,0.321,4.44,Y
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000050,Mango Pomelo Sago,Puzzle,beverage_iced,338,0.000675,0.0050,0.0428,0.316,4.36,N
PR000023,Iced Velvet Latte,Star,beverage_iced,PR000073,Iced Kyoto Matcha Coconut Latte,Plow Horse,beverage_iced,274,0.000547,0.0109,0.0152,0.304,3.65,N
PR000015,Iced Latte,Star,beverage_iced,PR000023,Iced Velvet Latte,Star,beverage_iced,347,0.000693,0.0152,0.0138,0.304,4.99,N
PR000016,Latte (Hot),Star,beverage_hot,PR000022,Coconut Latte (Hot),Plow Horse,beverage_hot,295,0.000589,0.0107,0.0160,0.290,3.94,N
PR000023,Iced Velvet Latte,Star,beverage_iced,PR000031,Cold Brew,Plow Horse,beverage_iced,268,0.000535,0.0107,0.0143,0.285,3.78,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000080,Iced Caramel Popcorn Latte,Star,beverage_iced,493,0.000984,0.0073,0.0366,0.269,4.24,N
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000022,Coconut Latte (Hot),Plow Horse,beverage_hot,672,0.001341,0.0099,0.0364,0.268,3.51,Y
PR000005,Drip Coffee,Star,beverage_hot,PR000018,Cappuccino (Hot),Star,beverage_hot,228,0.000455,0.0056,0.0215,0.266,4.64,N
PR000015,Iced Latte,Star,beverage_iced,PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,408,0.000814,0.0179,0.0111,0.243,4.31,N
PR000016,Latte (Hot),Star,beverage_hot,PR000031,Cold Brew,Plow Horse,beverage_iced,239,0.000477,0.0087,0.0127,0.231,3.99,Y
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000031,Cold Brew,Plow Horse,beverage_iced,573,0.001144,0.0084,0.0305,0.225,3.56,N
PR000005,Drip Coffee,Star,beverage_hot,PR000031,Cold Brew,Plow Horse,beverage_iced,330,0.000659,0.0081,0.0176,0.217,3.57,Y
PR000031,Cold Brew,Plow Horse,beverage_iced,PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,285,0.000569,0.0152,0.0077,0.206,3.10,N
PR000015,Iced Latte,Star,beverage_iced,PR000021,Iced Coconut Latte,Star,beverage_iced,626,0.001249,0.0274,0.0092,0.202,4.77,N
PR000022,Coconut Latte (Hot),Plow Horse,beverage_hot,PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,251,0.000501,0.0136,0.0068,0.184,3.05,Y
PR000016,Latte (Hot),Star,beverage_hot,PR000071,Iced Kyoto Matcha Latte,Plow Horse,beverage_iced,371,0.000740,0.0134,0.0101,0.183,3.99,Y
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000024,Velvet Latte (Hot),Star,beverage_hot,256,0.000511,0.0038,0.0244,0.180,4.18,Y
PR000014,Americano (Hot),Star,beverage_hot,PR000021,Iced Coconut Latte,Star,beverage_iced,256,0.000511,0.0243,0.0038,0.179,4.28,Y
PR000005,Drip Coffee,Star,beverage_hot,PR000016,Latte (Hot),Star,beverage_hot,396,0.000790,0.0098,0.0144,0.177,4.46,N
PR000016,Latte (Hot),Star,beverage_hot,PR000023,Iced Velvet Latte,Star,beverage_iced,239,0.000477,0.0087,0.0095,0.173,4.67,Y
PR000016,Latte (Hot),Star,beverage_hot,PR000021,Iced Coconut Latte,Star,beverage_iced,492,0.000982,0.0178,0.0072,0.131,4.45,Y
PR000021,Iced Coconut Latte,Star,beverage_iced,PR000072,Kyoto Matcha Latte (Hot),Star,beverage_hot,246,0.000491,0.0036,0.0164,0.121,3.96,Y
PR000005,Drip Coffee,Star,beverage_hot,PR000021,Iced Coconut Latte,Star,beverage_iced,293,0.000585,0.0072,0.0043,0.053,4.03,Y
