timestamp_unix,timestamp_iso,total_keys,keys_with_ttl,keys_without_ttl,ttl_percentage
1770719163,2026-02-10T08:06:03Z,5853027,3355730,2497297,57.33
1770719463,2026-02-10T08:11:03Z,5853006,3355702,2497304,57.33
1770719763,2026-02-10T08:16:03Z,5853017,3355730,2497287,57.33
1770720063,2026-02-10T08:21:03Z,5852965,3355660,2497305,57.33
1770720363,2026-02-10T08:26:03Z,5852884,3355577,2497307,57.33
1770720663,2026-02-10T08:31:03Z,5852753,3355448,2497305,57.33
1770720963,2026-02-10T08:36:03Z,5852655,3355359,2497296,57.33
1770721263,2026-02-10T08:41:03Z,6096083,3607349,2488734,59.18
1770721563,2026-02-10T08:46:03Z,6112751,3604271,2508480,58.96
1770721863,2026-02-10T08:51:03Z,6107987,3599516,2508471,58.93
1770722163,2026-02-10T08:56:03Z,6103164,3594656,2508508,58.90
1770722463,2026-02-10T09:01:03Z,6098483,3590012,2508471,58.87
1770722763,2026-02-10T09:06:03Z,6093858,3585372,2508486,58.84
1770723063,2026-02-10T09:11:03Z,6088986,3580492,2508494,58.80
1770723363,2026-02-10T09:16:03Z,6084371,3575887,2508484,58.77
1770723663,2026-02-10T09:21:03Z,6079748,3571249,2508499,58.74
1770723963,2026-02-10T09:26:03Z,6075119,3566643,2508476,58.71
1770724263,2026-02-10T09:31:03Z,6070427,3561920,2508507,58.68
1770724563,2026-02-10T09:36:03Z,6065871,3557397,2508474,58.65
1770724863,2026-02-10T09:41:03Z,6061691,3553295,2508396,58.62
1770725163,2026-02-10T09:46:03Z,6057899,3549499,2508400,58.60
1770725463,2026-02-10T09:51:03Z,6054189,3545739,2508450,58.57
1770725763,2026-02-10T09:56:03Z,6050379,3541975,2508404,58.54
1770726063,2026-02-10T10:01:03Z,6046993,3538568,2508425,58.52
1770726363,2026-02-10T10:06:03Z,6043883,3535489,2508394,58.50
1770726663,2026-02-10T10:11:03Z,6041163,3532781,2508382,58.48
1770726963,2026-02-10T10:16:03Z,6038310,3530007,2508303,58.46
1770727263,2026-02-10T10:21:03Z,6036019,3527678,2508341,58.44
1770727563,2026-02-10T10:26:03Z,6033479,3525153,2508326,58.43
1770727863,2026-02-10T10:31:03Z,6031646,3523385,2508261,58.42
1770728163,2026-02-10T10:36:03Z,6029861,3521519,2508342,58.40
1770728463,2026-02-10T10:41:03Z,6027560,3519287,2508273,58.39
1770728763,2026-02-10T10:46:03Z,6025741,3517423,2508318,58.38
1770729063,2026-02-10T10:51:03Z,6024351,3516088,2508263,58.37
1770729363,2026-02-10T10:56:03Z,6023182,3514952,2508230,58.36
1770729663,2026-02-10T11:01:03Z,6022896,3514663,2508233,58.36
1770729963,2026-02-10T11:06:03Z,6022002,3513837,2508165,58.35
1770730263,2026-02-10T11:11:03Z,6022569,3514613,2507956,58.36
1770730563,2026-02-10T11:16:03Z,6024372,3516164,2508208,58.37
1770730863,2026-02-10T11:21:03Z,6022552,3514229,2508323,58.36
1770731163,2026-02-10T11:26:03Z,6018850,3510679,2508171,58.33
1770731463,2026-02-10T11:31:03Z,6012104,3503501,2508603,58.28
1770731763,2026-02-10T11:36:03Z,6001942,3493202,2508740,58.20
1770732063,2026-02-10T11:41:03Z,6016181,3514260,2501921,58.41
1770732363,2026-02-10T11:46:03Z,6196067,3681043,2515024,59.41
1770732663,2026-02-10T11:51:03Z,6326183,3792153,2534030,59.94
1770732963,2026-02-10T11:56:03Z,6281645,3750487,2531158,59.71
1770733263,2026-02-10T12:01:03Z,6300678,3764778,2535900,59.75
1770733563,2026-02-10T12:06:03Z,6274377,3737805,2536572,59.58
1770733863,2026-02-10T12:11:03Z,6238859,3702081,2536778,59.34
1770734163,2026-02-10T12:16:03Z,6199010,3662013,2536997,59.07
1770734463,2026-02-10T12:21:03Z,6156719,3619542,2537177,58.79
1770734763,2026-02-10T12:26:03Z,6113597,3576723,2536874,58.50
1770735063,2026-02-10T12:31:03Z,6070058,3533161,2536897,58.21
1770735363,2026-02-10T12:36:03Z,6027563,3490812,2536751,57.92
1770735663,2026-02-10T12:41:03Z,5983304,3446041,2537263,57.60
1770735963,2026-02-10T12:46:03Z,5929774,3392058,2537716,57.20
1770736263,2026-02-10T12:51:03Z,5881948,3345164,2536784,56.87
1770736563,2026-02-10T12:56:03Z,5851732,3315934,2535798,56.67
1770736863,2026-02-10T13:01:03Z,5830492,3294811,2535681,56.51
1770737163,2026-02-10T13:06:03Z,5813972,3278442,2535530,56.39
1770737463,2026-02-10T13:11:03Z,5801916,3266525,2535391,56.30
1770737763,2026-02-10T13:16:03Z,5793049,3257988,2535061,56.24
1770738063,2026-02-10T13:21:03Z,5786704,3251667,2535037,56.19
1770738363,2026-02-10T13:26:03Z,5781302,3246277,2535025,56.15
1770738663,2026-02-10T13:31:03Z,5777453,3242589,2534864,56.12
1770738963,2026-02-10T13:36:03Z,5773557,3238661,2534896,56.09
1770739263,2026-02-10T13:41:03Z,5769935,3235136,2534799,56.07
1770739563,2026-02-10T13:46:03Z,5767609,3232762,2534847,56.05
1770739863,2026-02-10T13:51:03Z,5765749,3230931,2534818,56.04
1770740163,2026-02-10T13:56:03Z,5763152,3228260,2534892,56.02
1770740463,2026-02-10T14:01:03Z,5761753,3226988,2534765,56.01
1770740763,2026-02-10T14:06:03Z,5761447,3226667,2534780,56.01
