store_1,store_2,distance_miles,cannibalization_risk,impact_notes
100 Maiden Ln,102 Fulton,0.20,Critical,"Both in FiDi; 100 Maiden underperforms at 273 vs 102 Fulton at 417 cups. Likely splitting same customer base."
15th & 3rd,21st & 3rd,0.45,High,"Same 3rd Ave corridor. 15th & 3rd at 139 cups may be cannibalizing/cannibalized by 21st & 3rd."
128 W 32nd St (pipeline),28th & 6th,0.23,High,"Only 0.23mi apart. 28th & 6th already declining. Opening K-Town store may accelerate decline."
128 W 32nd St (pipeline),37th & Broadway,0.30,High,"Herald Square overlap. Both serve commuter/transit audience."
154 Bleecker (pipeline),8th & Broadway,0.40,Moderate,"Same Village/NYU area. However 8th & Broadway is Growing so market may support two stores."
35th & 5th (pipeline),37th & Broadway,0.29,High,"Only 2 blocks apart on Broadway corridor. Very high overlap risk."
Reade & Broadway (pipeline),102 Fulton,0.38,Moderate,"FiDi/Tribeca border. Some overlap with government worker vs financial worker segments."
148 Chambers (pipeline),102 Fulton,0.41,Moderate,"Similar distance. Tribeca vs FiDi differentiation may help."
23rd & 8th (pipeline),28th & 6th,0.42,Moderate,"Chelsea vs NoMad. Different but overlapping customer bases."
16th & 6th (pipeline),28th & 6th,0.57,Low,"12 blocks apart on 6th Ave. Minimal overlap expected."
211 Schermerhorn (pipeline),100 Maiden Ln,1.68,None,"Brooklyn vs Manhattan. No cannibalization expected."
Jackson Ave LIC (pipeline),37th & Broadway,2.47,None,"Queens vs Midtown. Completely separate markets."
108th & Broadway (pipeline),37th & Broadway,3.64,None,"UWS vs Midtown. No overlap."
